longitude,latitude,source,countryCode,basisOfRecord
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-88.75,17.25,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-79.9106,8.5714,F,,PreservedSpecimen
-88.525,17.215,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-79.9106,8.5714,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-96.5,17.0,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-98.0,18.8333,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-103.6667,20.3333,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-100.0,17.6667,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-88.525,17.215,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-100.5,22.5,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-88.525,17.215,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-92.5,16.5,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
